"1","仮登録がされておりません。","仮登録していただくか、本登録済みであればログインしてください。<br/>
<a href=""""https://lashca.com/signup"""">仮登録ページ</a><br/>
<a href=""""https://lashca.com/signup"""">ログイン</a><br/>
<a href=""""https://lashca.com/signup"""">パスワードを忘れた方はこちら</a><br/>"
"2","登録済みのメールアドレスです。","登録済みのメールアドレスでログインしてください。<br/>
<a href=""""https://lashca.com/signup"""">ログイン</a><br/>
<a href=""""https://lashca.com/signup"""">パスワードを忘れた方はこちら</a><br/>"
